0.001,6614,6600
0.00108088,5747,5733
0.0011683,4976,4962
0.001168311683,5048,5034
0.0012463,4463,4449
0.0013295,3937,3924
0.001329513295,4017,4003
0.0015,3161,3148
0.002,1742,1729
0.003,718,707
0.003332,567.1,556.5
0.00333203332,1394,1346
0.00341048,1304,1260
0.0034908,1226,1185
0.003490834908,1749,1683
0.004,1253,1208
0.0040461,1217,1174
0.004046140461,1415,1364
0.00442089,1137,1098
0.0048304,910.3,879.7
0.004830448304,965.5,933
0.005,887.8,858.1
0.0051823,812.9,785.9
0.005182351823,847.7,819.6
0.006,594.5,574.9
0.008,293.9,283
0.01,168.9,161.5
0.015,61.41,57.18
0.0163003,49.91,46.11
0.016300463003,115.6,87.32
0.0179166,99.24,69.24
0.0196932,69.84,54.92
0.019693396932,95.27,68.36
0.02,93.68,67.14
0.0204721,88.51,63.83
0.020472304721,101.8,72.59
0.03,38.92,30.32
0.04,18.65,15.03
0.05,10.52,8.558
0.06,6.592,5.355
0.08,3.178,2.526
0.1,1.83,1.403
0.109651,1.465,1.1
0.10965209651,5.336,1.502
0.15,2.472,1.09
0.2,1.234,0.6603
0.3,0.4939,0.2931
0.4,0.2789,0.1656
0.5,0.1895,0.1101
0.6,0.1435,0.08128
0.8,0.09861,0.05366
1,0.07709,0.04109
1.25,0.06251,0.03269
1.5,0.05498,0.02834
2,0.04812,0.02487
3,0.04396,0.02411
4,0.04347,0.02528
5,0.04421,0.02674
6,0.04542,0.02817
8,0.04836,0.0306
10,0.05149,0.03253
15,0.05871,0.0355
20,0.06447,0.03664
